,Date,Value
1,4/6/2020,26.21
2,4/3/2020,28.36
3,4/2/2020,25.18
4,4/1/2020,20.28
5,3/31/2020,20.51
6,3/30/2020,14.1
7,3/27/2020,15.48
8,3/26/2020,16.6
9,3/25/2020,20.75
10,3/24/2020,21.03
11,3/23/2020,23.33
12,3/20/2020,19.48
13,3/19/2020,25.09
14,3/18/2020,20.48
15,3/17/2020,26.96
16,3/16/2020,28.96
17,3/13/2020,31.72
18,3/12/2020,31.56
19,3/11/2020,33.13
20,3/10/2020,34.47
21,3/9/2020,31.05
22,3/6/2020,41.14
23,3/5/2020,45.9
24,3/4/2020,46.78
25,3/3/2020,47.27
26,3/2/2020,46.78
27,2/28/2020,44.83
28,2/27/2020,47.17
29,2/26/2020,48.67
30,2/25/2020,49.78
31,2/24/2020,51.36
32,2/21/2020,53.36
33,2/20/2020,53.77
34,2/19/2020,53.31
35,2/18/2020,52.1
36,2/14/2020,52.03
37,2/13/2020,51.41
38,2/12/2020,51.13
39,2/11/2020,50
40,2/10/2020,49.59
41,2/7/2020,50.34
42,2/6/2020,50.94
43,2/5/2020,50.87
44,2/4/2020,49.59
45,2/3/2020,50.06
46,1/31/2020,51.58
47,1/30/2020,52.19
48,1/29/2020,53.29
49,1/28/2020,53.33
50,1/27/2020,53.09
51,1/24/2020,54.09
52,1/23/2020,55.51
53,1/22/2020,56.76
54,1/21/2020,58.25
55,1/17/2020,58.55
56,1/16/2020,58.52
57,1/15/2020,57.86
58,1/14/2020,58.34
59,1/13/2020,58.17
60,1/10/2020,59.02
61,1/9/2020,59.56
62,1/8/2020,59.65
63,1/7/2020,62.7
64,1/6/2020,63.27
65,1/3/2020,63
66,1/2/2020,61.17
67,12/31/2019,61.14
68,12/30/2019,61.66
69,12/27/2019,61.76
70,12/26/2019,61.72
71,12/24/2019,61.17
72,12/23/2019,60.51
73,12/20/2019,60.43
74,12/19/2019,61.3
75,12/18/2019,60.93
76,12/17/2019,60.88
77,12/16/2019,60.21
78,12/13/2019,60.11
79,12/12/2019,59.18
80,12/11/2019,58.74
81,12/10/2019,59.22
82,12/9/2019,58.99
83,12/6/2019,59.2
84,12/5/2019,58.42
85,12/4/2019,58.46
86,12/3/2019,56.15
87,12/2/2019,55.97
88,11/29/2019,58.12
89,11/27/2019,58.12
90,11/26/2019,58.25
91,11/25/2019,57.79
92,11/22/2019,57.68
93,11/21/2019,58.36
94,11/20/2019,56.71
95,11/19/2019,54.93
96,11/18/2019,56.82
97,11/15/2019,57.54
